StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Prolific ID,Attention Check,medicaid-1_1,medicaid-2_1,medicaid-3_1,medicaid-4_1,veterans-1_1,veterans-2_1,veterans-3_1,veterans-4_1,pensions-1_1,pensions-2_1,pensions-3_1,pensions-4_1,foreign_aid-1_1,foreign_aid-2_1,foreign_aid-3_1,foreign_aid-4_1,confinement-1_1,confinement-2_1,confinement-3_1,confinement-4_1,suicide-1_1,suicide-2_1,suicide-3_1,suicide-4_1,border-1_1,border-2_1,border-3_1,border-4_1,felon_voting-1_1,felon_voting-2_1,felon_voting-3_1,felon_voting-4_1,affirmative_action-1_1,affirmative_action-2_1,affirmative_action-3_1,affirmative_action-4_1,electoral_college-1_1,electoral_college-2_1,electoral_college-3_1,electoral_college-4_1,authorship,PROLIFIC_PID,issue,model,variant
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",What is your Prolific ID? Please note that this response should auto-fill with the correct ID,"People get their news from a variety of sources, and in today's world reliance on on-line news sources is increasingly common. We want to know how much of your news consumption comes from on-line sources. We also want to know if people are paying attention to the question. To show that you've read this much, please ignore the question and select “on-line sources only” as your answer. About how much of your news consumption comes from on-line sources? Please include print newspapers that you read on-line (e.g., washingtonpost.com) as on-line sources.",The U.S. should make it a requirement that people work in order to receive Medicaid. [0=Strongly disagree; 100=Strongly agree] - .,Making it a requirement that people work in order to receive Medicaid is a bad idea. [0=Strongly disagree; 100=Strongly agree] - .,Making it a requirement that people work in order to receive Medicaid would have good consequences. [0=Strongly disagree; 100=Strongly agree] - .,Do you support making it a requirement that people work in order to receive Medicaid? [0=Don’t support; 100=Strongly support] - .,The U.S. should increase privatization of veterans’ healthcare. [0=Strongly disagree; 100=Strongly agree] - .,Increasing privatization of veterans’ healthcare is a bad idea. [0=Strongly disagree; 100=Strongly agree] - .,Increasing privatization of veterans’ healthcare would have good consequences. [0=Strongly disagree; 100=Strongly agree] - .,Do you support increasing privatization of veterans’ healthcare? [0=Don’t support; 100=Strongly support] - .,The U.S. should transition pension plans for public workers into privately managed accounts. [0=Strongly disagree; 100=Strongly agree] - .,Transitioning pension plans for public workers into privately managed accounts is a bad idea. [0=Strongly disagree; 100=Strongly agree] - .,Transitioning pension plans for public workers into privately managed accounts would have good consequences. [0=Strongly disagree; 100=Strongly agree] - .,Do you support transitioning pension plans for public workers into privately managed accounts? [0=Don’t support; 100=Strongly support] - .,The U.S. should not decrease foreign aid spending. [0=Strongly disagree; 100=Strongly agree] - .,Decreasing foreign aid spending is a good idea. [0=Strongly disagree; 100=Strongly agree] - .,Decreasing foreign aid spending would have bad consequences. [0=Strongly disagree; 100=Strongly agree] - .,Do you oppose decreasing foreign aid spending? [0=Don’t oppose; 100=Strongly oppose] - .,The U.S. should not ban the use of solitary confinement for juveniles in prison. [0=Strongly disagree; 100=Strongly agree] - .,Banning the use of solitary confinement for juveniles in prison is a good idea. [0=Strongly disagree; 100=Strongly agree] - .,Banning the use of solitary confinement for juveniles in prison would have bad consequences. [0=Strongly disagree; 100=Strongly agree] - .,Do you oppose banning the use of solitary confinement for juveniles in prison? [0=Don’t oppose; 100=Strongly oppose] - .,The U.S. should allow terminally ill patients to end their lives via assisted suicide. [0=Strongly disagree; 100=Strongly agree] - .,Allowing terminally ill patients to end their lives via assisted suicide is a bad idea. [0=Strongly disagree; 100=Strongly agree] - .,Allowing terminally ill patients to end their lives via assisted suicide would have good consequences. [0=Strongly disagree; 100=Strongly agree] - .,Do you support allowing terminally ill patients to end their lives via assisted suicide? [0=Don’t support; 100=Strongly support] - .,The U.S. should adopt more restrictions at the U.S. border. [0=Strongly disagree; 100=Strongly agree] - .,Adopting more restrictions at the U.S. border is a bad idea. [0=Strongly disagree; 100=Strongly agree] - .,Adopting more restrictions at the U.S. border would have good consequences. [0=Strongly disagree; 100=Strongly agree] - .,Do you support adopting more restrictions at the U.S. border? [0=Don’t support; 100=Strongly support] - .,The U.S. should not deny convicted felons the right to vote. [0=Strongly disagree; 100=Strongly agree] - .,Denying convicted felons of the right to vote is a good idea. [0=Strongly disagree; 100=Strongly agree] - .,Denying convicted felons of the right to vote would have bad consequences. [0=Strongly disagree; 100=Strongly agree] - .,Do you oppose denying convicted felons of the right to vote? [0=Don’t oppose; 100=Strongly oppose] - .,The U.S. should not allow the use of affirmative action programs. [0=Strongly disagree; 100=Strongly agree] - .,Allowing the use of affirmative action programs is a good idea. [0=Strongly disagree; 100=Strongly agree] - .,Allowing the use of affirmative action programs would have bad consequences. [0=Strongly disagree; 100=Strongly agree] - .,Do you oppose the use of affirmative action programs? [0=Don’t oppose; 100=Strongly oppose] - .,The U.S. should abolish the electoral college. [0=Strongly disagree; 100=Strongly agree] - .,Abolishing the electoral college is a bad idea. [0=Strongly disagree; 100=Strongly agree] - .,Abolishing the electoral college would have good consequences. [0=Strongly disagree; 100=Strongly agree] - .,Do you support abolishing the electoral college? [0=Don’t support; 100=Strongly support] - .,Who do you think was most likely to have been the author of the message you read?,PROLIFIC_PID,issue,model,variant
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1215169153""}","{""ImportId"":""QID1215169206_TEXT""}","{""ImportId"":""QID1215169205""}","{""ImportId"":""QID1215169186_1""}","{""ImportId"":""QID1215169187_1""}","{""ImportId"":""QID1215169188_1""}","{""ImportId"":""QID1215169189_1""}","{""ImportId"":""QID1215169201_1""}","{""ImportId"":""QID1215169202_1""}","{""ImportId"":""QID1215169203_1""}","{""ImportId"":""QID1215169204_1""}","{""ImportId"":""QID1215169191_1""}","{""ImportId"":""QID1215169192_1""}","{""ImportId"":""QID1215169193_1""}","{""ImportId"":""QID1215169194_1""}","{""ImportId"":""QID1215169181_1""}","{""ImportId"":""QID1215169182_1""}","{""ImportId"":""QID1215169183_1""}","{""ImportId"":""QID1215169184_1""}","{""ImportId"":""QID1215169196_1""}","{""ImportId"":""QID1215169197_1""}","{""ImportId"":""QID1215169198_1""}","{""ImportId"":""QID1215169199_1""}","{""ImportId"":""QID1215169161_1""}","{""ImportId"":""QID1215169162_1""}","{""ImportId"":""QID1215169163_1""}","{""ImportId"":""QID1215169164_1""}","{""ImportId"":""QID1215169166_1""}","{""ImportId"":""QID1215169167_1""}","{""ImportId"":""QID1215169168_1""}","{""ImportId"":""QID1215169169_1""}","{""ImportId"":""QID1215169176_1""}","{""ImportId"":""QID1215169177_1""}","{""ImportId"":""QID1215169178_1""}","{""ImportId"":""QID1215169179_1""}","{""ImportId"":""QID1215169156_1""}","{""ImportId"":""QID1215169157_1""}","{""ImportId"":""QID1215169158_1""}","{""ImportId"":""QID1215169159_1""}","{""ImportId"":""QID1215169171_1""}","{""ImportId"":""QID1215169172_1""}","{""ImportId"":""QID1215169173_1""}","{""ImportId"":""QID1215169174_1""}","{""ImportId"":""QID178""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""issue""}","{""ImportId"":""model""}","{""ImportId"":""variant""}"
2024-03-12 14:48:22,2024-03-12 14:50:30,IP Address,136.226.73.27,100,127,True,2024-03-12 14:50:30,R_38T0EaBLrMpSCdI,,,,,42.3364,-71.0326,anonymous,EN,I agree to take part,63d3fd97b8335547cd794932,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,5,95,95,A political journalist,63d3fd97b8335547cd794932,electoral college,GPT-4_Alpaca,2
2024-03-12 14:55:18,2024-03-12 14:56:24,IP Address,73.123.37.17,100,65,True,2024-03-12 14:56:24,R_2MJUqAeyHhF6q8l,,,,,42.5301,-71.7553,anonymous,EN,I agree to take part,5c008a00bab6730001649924,On-line sources only,,,,,,,,,60,40,61,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A political strategist / consultant,5c008a00bab6730001649924,pensions,shareGPT,3
2024-03-12 14:55:43,2024-03-12 14:58:36,IP Address,76.16.74.207,100,172,True,2024-03-12 14:58:37,R_3ceq3A1JGgVBvQ5,,,,,42.0581,-86.4808,anonymous,EN,I agree to take part,640606633093306c279c0b97,On-line sources only,,,,,,,,,,,,,,,,,61,67,67,30,,,,,,,,,,,,,,,,,,,,,An AI language model,640606633093306c279c0b97,solitary confinement,OpenOrca,2
2024-03-12 14:58:33,2024-03-12 15:00:11,IP Address,75.109.28.236,100,98,True,2024-03-12 15:00:12,R_8JKDCvS2nMIimpv,,,,,37.3218,-80.8573,anonymous,EN,I agree to take part,6319d10bcb4da9920a69e261,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,15,94,100,,,,,,,,,A political science graduate student,6319d10bcb4da9920a69e261,felons voting,shareGPT,1
2024-03-12 14:59:07,2024-03-12 15:00:45,IP Address,107.218.191.35,100,97,True,2024-03-12 15:00:45,R_2KPKyZiqa0SornS,,,,,41.141,-81.4768,anonymous,EN,I agree to take part,63b9c4596fd2a165a71d673e,On-line sources only,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A politician,63b9c4596fd2a165a71d673e,medicaid,Llama-2-instruct,2
2024-03-12 15:01:50,2024-03-12 15:02:07,IP Address,173.70.58.175,100,17,True,2024-03-12 15:02:08,R_31LObdlGRNy8QI9,,,,,40.793,-74.0247,anonymous,EN,I agree to take part,6107eea10c878cfd936ad454,"Mostly on-line sources, with some television and print news",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6107eea10c878cfd936ad454,,,
2024-03-12 15:06:06,2024-03-12 15:08:36,IP Address,216.120.158.117,100,149,True,2024-03-12 15:08:36,R_8eQg7jHBcWFMFEZ,,,,,40.7428,-73.9712,anonymous,EN,I agree to take part,63e2d0688843b2d983ab9d05,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,40,49,55,40,,,,,,,,,,,,,A political strategist / consultant,63e2d0688843b2d983ab9d05,border restrictions,shareGPT,3
2024-03-12 15:09:07,2024-03-12 15:11:36,IP Address,155.190.21.4,100,149,True,2024-03-12 15:11:37,R_2Ij9W2oDOoLpil8,,,,,37.751,-97.822,anonymous,EN,I agree to take part,5ed6a80ac3b8620fd41f5fd6,On-line sources only,,,,,31,80,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A political journalist,5ed6a80ac3b8620fd41f5fd6,veteran healthcare,GPT-4_Alpaca,1
